# Matter power spectrum P(k) at redshift z=2.34
# for k=1.04504e-05 to 1.08139 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.352000514002e-02       3.476619966738e+03 
       1.364915576281e-02       3.482811998935e+03 
       1.377834271748e-02       3.488700904251e+03 
       1.390756611905e-02       3.494286380344e+03 
       1.403682610559e-02       3.499573947872e+03 
       1.416612283780e-02       3.504569365459e+03 
       1.429545649872e-02       3.509274739517e+03 
       1.442482729342e-02       3.513693476845e+03 
       1.455423544873e-02       3.517827640587e+03 
       1.468368121300e-02       3.521687005991e+03 
       1.481316485591e-02       3.525267625526e+03 
       1.494268666828e-02       3.528575715626e+03 
       1.507224696193e-02       3.531614452756e+03 
       1.520184606953e-02       3.534387104267e+03 
       1.533148434454e-02       3.536900447494e+03 
       1.546116216110e-02       3.539154315361e+03 
       1.559087991400e-02       3.541155777140e+03 
       1.572063801862e-02       3.542902686409e+03 
       1.585043691097e-02       3.544402442331e+03 
       1.598027704764e-02       3.545654338482e+03 
       1.611015890590e-02       3.546665318756e+03 
       1.624008298370e-02       3.547441317366e+03 
       1.637004979976e-02       3.547978417465e+03 
       1.650005989367e-02       3.548282741118e+03 
       1.663011382600e-02       3.548357084978e+03 
       1.676021217840e-02       3.548203178305e+03 
       1.689035555378e-02       3.547837833302e+03 
       1.702054457645e-02       3.547244495976e+03 
       1.715077989232e-02       3.546438101623e+03 
       1.728106216910e-02       3.545412047190e+03 
       1.741139209646e-02       3.544177236115e+03 
       1.754177038635e-02       3.542737405000e+03 
       1.767219777319e-02       3.541093193921e+03 
       1.780267501413e-02       3.539246817689e+03 
       1.793320288938e-02       3.537201174788e+03 
       1.806378220246e-02       3.534959475071e+03 
       1.819441378054e-02       3.532522768001e+03 
       1.832509847477e-02       3.529899001125e+03 
       1.845583716061e-02       3.527085649886e+03 
       1.858663073823e-02       3.524091607902e+03 
       1.871748013287e-02       3.520912694689e+03 
       1.884838629522e-02       3.517555824749e+03 
       1.897935020188e-02       3.514013962614e+03 
       1.911037285577e-02       3.510312113011e+03 
       1.924145528657e-02       3.506438891977e+03 
       1.937259855121e-02       3.502391273722e+03 
       1.950380373436e-02       3.498180691012e+03 
       1.963507194890e-02       3.493812443909e+03 
       1.976640433650e-02       3.489276383445e+03 
       1.989780206810e-02       3.484586699143e+03 
       2.002926634454e-02       3.479747168600e+03 
       2.016079839707e-02       3.474748957487e+03 
       2.029239948802e-02       3.469601262356e+03 
       2.042407091138e-02       3.464306771166e+03 
       2.055581399345e-02       3.458869949480e+03 
       2.068763009351e-02       3.453285966690e+03 
       2.081952060452e-02       3.447570751787e+03 
       2.095148695381e-02       3.441715397191e+03 
       2.108353060382e-02       3.435723862329e+03 
       2.121565305285e-02       3.429599585095e+03 
       2.134785583585e-02       3.423340907230e+03 
       2.148014052522e-02       3.416967396238e+03 
       2.161250873164e-02       3.410455874571e+03 
       2.174496210493e-02       3.403829604287e+03 
       2.187750233493e-02       3.397077441872e+03 
       2.201013115241e-02       3.390211598648e+03 
       2.214285033001e-02       3.383228726028e+03 
       2.227566168323e-02       3.376131540966e+03 
       2.240856707139e-02       3.368924420573e+03 
       2.254156839870e-02       3.361604690861e+03 
       2.267466761529e-02       3.354178769331e+03 
       2.280786671835e-02       3.346651517111e+03 
       2.294116775320e-02       3.339019113926e+03 
       2.307457281452e-02       3.331286440210e+03 
       2.320808404750e-02       3.323454783338e+03 
       2.334170364913e-02       3.315530299659e+03 
       2.347543386942e-02       3.307503405284e+03 
       2.360927701278e-02       3.299385530941e+03 
       2.374323543936e-02       3.291181093580e+03 
       2.387731156642e-02       3.282876154813e+03 
       2.401150786985e-02       3.274506513025e+03 
       2.414582688559e-02       3.266040935647e+03 
       2.428027121125e-02       3.257495158077e+03 
       2.441484350763e-02       3.248874365066e+03 
       2.454954650042e-02       3.240142105203e+03 
       2.468438298188e-02       3.231380382745e+03 
       2.481935581259e-02       3.222525677398e+03 
       2.495446792328e-02       3.213597794669e+03 
       2.508972231667e-02       3.204567932520e+03 
       2.522512206943e-02       3.195510299444e+03 
       2.536067033418e-02       3.186361468695e+03 
       2.549637034153e-02       3.177181070462e+03 
       2.563222540224e-02       3.167869094419e+03 
       2.576823890939e-02       3.158541704415e+03 
       2.590441434073e-02       3.149153298979e+03 
       2.604075526096e-02       3.139696817841e+03 
       2.617726532421e-02       3.130194270732e+03 
       2.631394827657e-02       3.120670049107e+03 
       2.645080795869e-02       3.111015684446e+03 
       2.658784830849e-02       3.101364516273e+03 
       2.672507336393e-02       3.091641049468e+03 
       2.686248726597e-02       3.081883350361e+03 
       2.700009426151e-02       3.072080585665e+03 
       2.713789870655e-02       3.062203722852e+03 
       2.727590506935e-02       3.052304559224e+03 
       2.741411793386e-02       3.042327514606e+03 
       2.755254200309e-02       3.032364050403e+03 
       2.769118210274e-02       3.022330185478e+03 
       2.783004318496e-02       3.012256975617e+03 
       2.796913033215e-02       3.002146212568e+03 
       2.810844876100e-02       2.991999435885e+03 
       2.824800382665e-02       2.981818783417e+03 
       2.838780102701e-02       2.971596451869e+03 
       2.852784600726e-02       2.961352478311e+03 
       2.866814456447e-02       2.951073016503e+03 
       2.880870265251e-02       2.940756833665e+03 
       2.894952638702e-02       2.930429838461e+03 
       2.909062205069e-02       2.920044553279e+03 
       2.923199609870e-02       2.909677634135e+03 
       2.937365516437e-02       2.899258892831e+03 
       2.951560606508e-02       2.888821337232e+03 
       2.965785580838e-02       2.878359663868e+03 
       2.980041159843e-02       2.867881651826e+03 
       2.994328084261e-02       2.857369641226e+03 
       3.008647115852e-02       2.846842989766e+03 
       3.022999038115e-02       2.836298076830e+03 
       3.037384657048e-02       2.825742382270e+03 
       3.051804801936e-02       2.815168119555e+03 
       3.066260326168e-02       2.804579566477e+03 
       3.080752108097e-02       2.793979484668e+03 
       3.095281051938e-02       2.783356484266e+03 
       3.109848088701e-02       2.772726438026e+03 
       3.124454177173e-02       2.762083188283e+03 
       3.139100304937e-02       2.751431238930e+03 
       3.153787489443e-02       2.740754197707e+03 
       3.168516779129e-02       2.730088059738e+03 
       3.183289254592e-02       2.719402872734e+03 
       3.198106029818e-02       2.708724232048e+03 
       3.212968253463e-02       2.698010914810e+03 
       3.227877110206e-02       2.687323130092e+03 
       3.242833822161e-02       2.676613843043e+03 
       3.257839650361e-02       2.665903031059e+03 
       3.272895896313e-02       2.655181978812e+03 
       3.288003903635e-02       2.644475176793e+03 
       3.303165059773e-02       2.633757147648e+03 
       3.318380797808e-02       2.623037701720e+03 
       3.333652598352e-02       2.612297592020e+03 
       3.348981991548e-02       2.601578686859e+03 
       3.364370559176e-02       2.590853682454e+03 
       3.379819936862e-02       2.580126906063e+03 
       3.395331816421e-02       2.569399222165e+03 
       3.410907948312e-02       2.558692005510e+03 
       3.426550144241e-02       2.547962667929e+03 
       3.442260279899e-02       2.537239962132e+03 
       3.458040297864e-02       2.526531190209e+03 
       3.473892210656e-02       2.515807737815e+03 
       3.489818103979e-02       2.505107966944e+03 
       3.505820140144e-02       2.494408933622e+03 
       3.521900561700e-02       2.483696416323e+03 
       3.538061695271e-02       2.473000205832e+03 
       3.554305955640e-02       2.462310241355e+03 
       3.570635850064e-02       2.451614883528e+03 
       3.587053982870e-02       2.440921544918e+03 
       3.603563060329e-02       2.430248608411e+03 
       3.620165895840e-02       2.419572806088e+03 
       3.636865415450e-02       2.408906218380e+03 
       3.653664663726e-02       2.398237459735e+03 
       3.670566810017e-02       2.387584687063e+03 
       3.687575155127e-02       2.376930466355e+03 
       3.704693138443e-02       2.366274675372e+03 
       3.721924345544e-02       2.355638053238e+03 
       3.739272516344e-02       2.345002767175e+03 
       3.756741553793e-02       2.334369641140e+03 
       3.774335533209e-02       2.323733556694e+03 
       3.792058712273e-02       2.313120332249e+03 
       3.809915541757e-02       2.302501884224e+03 
       3.827910677051e-02       2.291883360382e+03 
       3.846048990543e-02       2.281280302965e+03 
       3.864335584957e-02       2.270673926184e+03 
       3.882775807715e-02       2.260075450961e+03 
       3.901375266426e-02       2.249473978477e+03 
       3.920139845614e-02       2.238878772364e+03 
       3.939075724790e-02       2.228286440636e+03 
       3.958189398023e-02       2.217701292327e+03 
       3.977487695134e-02       2.207107560177e+03 
       3.996977804688e-02       2.196518634883e+03 
       4.016667298975e-02       2.185927183457e+03 
       4.036564161176e-02       2.175338969238e+03 
       4.056676814945e-02       2.164751955640e+03 
       4.077014156680e-02       2.154160549371e+03 
       4.097585590764e-02       2.143564591249e+03 
       4.118401068112e-02       2.132958766150e+03 
       4.139471128403e-02       2.122350706445e+03 
       4.160806946412e-02       2.111742642108e+03 
       4.182420382935e-02       2.101123708573e+03 
       4.204324040846e-02       2.090494147831e+03 
       4.226531326925e-02       2.079855825253e+03 
       4.249056520155e-02       2.069211187493e+03 
       4.271914847328e-02       2.058548766423e+03 
       4.295122566886e-02       2.047863974492e+03 
       4.318697062091e-02       2.037168271392e+03 
       4.342656944779e-02       2.026455825265e+03 
       4.367022171141e-02       2.015732608001e+03 
       4.391814171223e-02       2.004971188047e+03 
       4.417055994104e-02       1.994197896210e+03 
       4.442772471044e-02       1.983377989162e+03 
       4.468990399286e-02       1.972550303444e+03 
       4.495738749667e-02       1.961684075912e+03 
       4.523048901762e-02       1.950772606105e+03 
       4.550954910955e-02       1.939829436019e+03 
       4.579493812670e-02       1.928837829359e+03 
       4.608705969988e-02       1.917812658258e+03 
